Title;Source;DOI;Year Published;WOS Number
Coastal sea level rise with warming above 2 degrees C;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;10.1073/pnas.1605312113;2016;WOS:000388830700056
Unraveling North-African riverine and eolian contributions to central Mediterranean sediments during Holocene sapropel S1 formation;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2016.09.029;2016;WOS:000387527000003
Bioaccumulation of polycyclic aromatic hydrocarbons, polychlorinated biphenyls and hexachlorobenzene by three Arctic benthic species from Kongsfjorden (Svalbard, Norway);MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.041;2016;WOS:000386188900018
Mantle plumes in the vicinity of subduction zones;EARTH AND PLANETARY SCIENCE LETTERS;10.1016/j.epsl.2016.09.001;2016;WOS:000386645700018
Large amounts of marine debris found in sperm whales stranded along the North Sea coast in early 2016;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.027;2016;WOS:000386188900027
Sensitivity of the sediment trapping capacity of an estuarine mangrove forest;GEOMORPHOLOGY;10.1016/j.geomorph.2016.07.038;2016;WOS:000385323700015
Changes in the geometry and strength of the Atlantic meridional overturning circulation during the last glacial (20-50 ka);CLIMATE OF THE PAST;10.5194/cp-12-2061-2016;2016;WOS:000387984000001
Light absorption properties of CDOM in the Changjiang (Yangtze) estuarine and coastal waters: An alternative approach for DOC estimation;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.09.004;2016;WOS:000386406500030
Particle size traces modern Saharan dust transport and deposition across the equatorial North Atlantic;ATMOSPHERIC CHEMISTRY AND PHYSICS;10.5194/acp-16-13697-2016;2016;WOS:000387119200002
Vivianite is a key sink for phosphorus in sediments of the Landsort Deep, an intermittently anoxic deep basin in the Baltic Sea;CHEMICAL GEOLOGY;10.1016/j.chemgeo.2016.05.025;2016;WOS:000381531100005
Annual brown shrimp (Crangon crangon) biomass production in Northwestern Europe contrasted to annual landings;ICES JOURNAL OF MARINE SCIENCE;10.1093/icesjms/fsw141;2016;WOS:000402376300011
The impact of averaging methods on the trend analysis of the Antarctic sea ice extent and perimeter;SPATIAL STATISTICS;10.1016/j.spasta.2016.04.002;2016;WOS:000393232800014
Citizen Bio-Optical Observations from Coast- and Ocean and Their Compatibility with Ocean Colour Satellite Measurements;REMOTE SENSING;10.3390/rs8110879;2016;WOS:000388798400001
Deeply hidden inside introduced biogenic structures - Pacific oyster reefs reduce detrimental barnacle overgrowth on native blue mussels;JOURNAL OF SEA RESEARCH;10.1016/j.seares.2016.09.002;2016;WOS:000388777100003
"Dissolved methane in the Beaufort Sea and the Arctic Ocean, 1992-2009; sources and atmospheric flux";LIMNOLOGY AND OCEANOGRAPHY;10.1002/lno.10457;2016;WOS:000388560900022
Short-term mudflat dynamics drive long-term cyclic salt marsh dynamics;LIMNOLOGY AND OCEANOGRAPHY;10.1002/lno.10374;2016;WOS:000387749500022
Wind and wave characteristics in the Black Sea based on the SWAN wave model forced with the CFSR winds;OCEAN ENGINEERING;10.1016/j.oceaneng.2016.09.026;2016;WOS:000388052400022
Natural hazards in Australia: sea level and coastal extremes;CLIMATIC CHANGE;10.1007/s10584-016-1647-8;2016;WOS:000387580100005
Alongshore variability of cross-shore bar behavior on a nontidal beach;EARTH SURFACE PROCESSES AND LANDFORMS;10.1002/esp.3974;2016;WOS:000387361400007
3D surface-wave estimation and separation using a closed-loop approach;GEOPHYSICAL PROSPECTING;10.1111/1365-2478.12347;2016;WOS:000386158100001
Impact of tidal currents on delta-channel deepening, stratigraphic architecture, and sediment bypass beyond the shoreline;GEOLOGY;10.1130/G38334.1;2016;WOS:000386121200012
Linkages between sediment composition, wave climate and beach profile variability at multiple timescales;MARINE GEOLOGY;10.1016/j.margeo.2016.09.012;2016;WOS:000386190600016
Sediment sorting at the Sand Motor at storm and annual time scales;MARINE GEOLOGY;10.1016/j.margeo.2016.09.005;2016;WOS:000386190600017
Sensitivity of palaeotidal models of the northwest European shelf seas to glacial isostatic adjustment since the Last Glacial Maximum;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2016.08.034;2016;WOS:000386404300012
Fish banks: An economic model to scale marine conservation;MARINE POLICY;10.1016/j.marpol.2016.07.032;2016;WOS:000385325300019
Interaction between trench retreat and Anatolian escape as recorded by neogene basins in the northern Aegean Sea;MARINE AND PETROLEUM GEOLOGY;10.1016/j.marpetgeo.2016.05.011;2016;WOS:000384861400003
The impact of disposal of fine-grained sediments from maintenance dredging works on SPM concentration and fluid mud in and outside the harbor of Zeebrugge;OCEAN DYNAMICS;10.1007/s10236-016-0996-1;2016;WOS:000385196600007
Definition of new trace-metal proxies for the controls on organic matter enrichment in marine sediments based on Mn, Co, Mo and Cd concentrations;CHEMICAL GEOLOGY;10.1016/j.chemgeo.2016.08.028;2016;WOS:000384057800018
Projections of extreme storm surge levels along Europe;CLIMATE DYNAMICS;10.1007/s00382-016-3019-5;2016;WOS:000386062000027
Seasonal pathways of organic matter within the Aviles submarine canyon: Food web implications;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS;10.1016/j.dsr.2016.09.003;2016;WOS:000390514800001
The distribution of blue whiting west of the British Isles and Ireland;FISHERIES RESEARCH;10.1016/j.fishres.2016.05.012;2016;WOS:000382599600004
Multidecadal climate and seasonal snow conditions in Svalbard;JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE;10.1002/2016JF003999;2016;WOS:000392825900008
Carbon cycling in the deep eastern North Pacific benthic food web: Investigating the effect of organic carbon input;LIMNOLOGY AND OCEANOGRAPHY;10.1002/lno.10345;2016;WOS:000387749500002
Fate of microphytobenthos nitrogen in subtropical subtidal sediments: A N-15 pulse-chase study;LIMNOLOGY AND OCEANOGRAPHY;10.1002/lno.10356;2016;WOS:000387749500011
Coupling bedform roughness and sediment grain-size sorting in modelling of tidal inlet incision;MARINE GEOLOGY;10.1016/j.margeo.2016.09.004;2016;WOS:000386190600011
Constraints on the application of long chain diol proxies in the Iberian Atlantic margin;ORGANIC GEOCHEMISTRY;10.1016/j.orggeochem.2016.09.005;2016;WOS:000386932200016
Impact of cable bacteria on sedimentary iron and manganese dynamics in a seasonally-hypoxic marine basin;GEOCHIMICA ET COSMOCHIMICA ACTA;10.1016/j.gca.2016.07.028;2016;WOS:000384105700003
An alternative model for CaCO3 over-shooting during the PETM: Biological carbonate compensation;EARTH AND PLANETARY SCIENCE LETTERS;10.1016/j.epsl.2016.08.012;2016;WOS:000383932300022
Closing the sea level budget on a regional scale: Trends and variability on the Northwestern European continental shelf;GEOPHYSICAL RESEARCH LETTERS;10.1002/2016GL070750;2016;WOS:000388293800009
A cold and fresh ocean surface in the Nordic Seas during MIS 11: Significance for the future ocean;GEOPHYSICAL RESEARCH LETTERS;10.1002/2016GL070294;2016;WOS:000388293800036
A sea surface temperature reconstruction for the southern Indian Ocean trade wind belt from corals in Rodrigues Island (19 degrees S, 63 degrees E);BIOGEOSCIENCES;10.5194/bg-13-5827-2016;2016;WOS:000386012700001
Thermogenic methane release as a cause for the long duration of the PETM;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;10.1073/pnas.1603348113;2016;WOS:000386087100041
Ice core evidence for a 20th century increase in surface mass balance in coastal Dronning Maud Land, East Antarctica;CRYOSPHERE;10.5194/tc-10-2501-2016;2016;WOS:000387065300001
Food selectivity and processing by the cold-water coral Lophelia pertusa;BIOGEOSCIENCES;10.5194/bg-13-5789-2016;2016;WOS:000385797100001
Improving satellite-retrieved surface radiative fluxes in polar regions using a smart sampling approach;CRYOSPHERE;10.5194/tc-10-2379-2016;2016;WOS:000385414700002
Governance in a beach seine fishery: a case study from Lake Victoria, Tanzania;MARITIME STUDIES;10.1186/s40152-016-0051-3;2016;WOS:000385436100001
Mitochondrial DNA Analyses Indicate High Diversity, Expansive Population Growth and High Genetic Connectivity of Vent Copepods (Dirivultidae) across Different Oceans;PLOS ONE;10.1371/journal.pone.0163776;2016;WOS:000385505300029
Surfzone hydrodynamics as a key determinant of spatial variation in rocky intertidal communities;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;10.1098/rspb.2016.1017;2016;WOS:000386490000001
Ecosystem engineering creates a direct nutritional link between 600-m deep cold-water coral mounds and surface productivity;SCIENTIFIC REPORTS;10.1038/srep35057;2016;WOS:000385064000002
The effect of particle properties on the depth profile of buoyant plastics in the ocean;SCIENTIFIC REPORTS;10.1038/srep33882;2016;WOS:000384922700001
Seasonal changes in the D / H ratio of fatty acids of pelagic microorganisms in the coastal North Sea;BIOGEOSCIENCES;10.5194/bg-13-5527-2016;2016;WOS:000385257000001
Predicting the salt water intrusion in the Shatt al-Arab estuary using an analytical approach;HYDROLOGY AND EARTH SYSTEM SCIENCES;10.5194/hess-20-4031-2016;2016;WOS:000385841500002
The sea level response to ice sheet freshwater forcing in the Community Earth System Model;ENVIRONMENTAL RESEARCH LETTERS;10.1088/1748-9326/11/10/104002;2016;WOS:000403802200001
Climate Change Will Make Recovery from Eutrophication More Difficult in Shallow Danish Lake Sobygaard;WATER;10.3390/w8100459;2016;WOS:000389659200044
Tidal energy redistribution among vertical modes in a fluid with a mid-depth pycnocline;PHYSICS OF FLUIDS;10.1063/1.4964759;2016;WOS:000387592300001
Identification and classification of very low frequency waves on a coral reef flat;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1002/2016JC011834;2016;WOS:000388602200019
Changes in diatom productivity and upwelling intensity off Peru since the Last Glacial Maximum: Response to basin-scale atmospheric and oceanic forcing;PALEOCEANOGRAPHY;10.1002/2016PA002936;2016;WOS:000387775200010
Initial Results of Typhoon Wind Speed Observation Using Coastal GNSS-R of BeiDou GEO Satellite;IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING;10.1109/JSTARS.2016.2523126;2016;WOS:000387454400017
Lagrangian Coherent Structures in a coastal upwelling environment;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2016.09.007;2016;WOS:000386990400004
Distribution of the invasive Caprella mutica Schurin, 1935 and native Caprella linearis (Linnaeus, 1767) on artificial hard substrates in the North Sea: separation by habitat;AQUATIC INVASIONS;10.3391/ai.2016.11.4.08;2016;WOS:000385925200008
Temporal variability of reactive iron over the Gulf of Alaska shelf;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;10.1016/j.dsr2.2015.05.004;2016;WOS:000385598700007
Comparison of archaeal and bacterial communities in two sponge species and seawater from an Indonesian coral reef environment;MARINE GENOMICS;10.1016/j.margen.2016.04.014;2016;WOS:000385472900011
Toward a Harmonized Approach for Environmental Assessment of Human Activities in the Marine Environment;INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT;10.1002/ieam.1736;2016;WOS:000383365800008
Stakeholder Involvement for Management of the Coastal Zone;INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT;10.1002/ieam.1783;2016;WOS:000383365800021
Distribution and budget of dissolved and biogenic silica in the Bohai Sea and Yellow Sea;BIOGEOCHEMISTRY;10.1007/s10533-016-0244-2;2016;WOS:000387274300007
Impact on bird fauna of a non-native oyster expanding into blue mussel beds in the Dutch Wadden Sea;BIOLOGICAL CONSERVATION;10.1016/j.biocon.2016.08.007;2016;WOS:000386318400005
Development and extension of an aggregated scale model: Part 2-Extensions to ASMITA;CHINA OCEAN ENGINEERING;10.1007/s13344-016-0042-6;2016;WOS:000385242500001
Maximum overtopping forces on a dike-mounted wall with a shallow foreshore;COASTAL ENGINEERING;10.1016/j.coastaleng.2016.06.004;2016;WOS:000382597300008
Wave overtopping of sea dikes with very shallow foreshores;COASTAL ENGINEERING;10.1016/j.coastaleng.2016.07.002;2016;WOS:000382597300018
The contribution of glacial isostatic adjustment to projections of sea-level change along the Atlantic and Gulf coasts of North America;EARTHS FUTURE;10.1002/2016EF000363;2016;WOS:000387762100002
