Title;Source;DOI;Year Published;WOS Number
Evidence from episodic seamount volcanism for pulsing of the Iceland plume in the past 70 Myr;NATURE;10.1038/35050066;2000;WOS:000165951100044
Status of white-chinned petrels Procellaria aequinoctialis Linnaeus 1758, at Bird Island, South Georgia;ANTARCTIC SCIENCE;;2000;WOS:000165975000002
Observations on the seasonal occurrence and abundance of gelatinous zooplankton in Lough Hyne, Co. Cork. south-west Ireland;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;2000;WOS:000170921900001
Polychlorinated biphenyls and organochlorines in by-caught harbour porpoises Phocoena phocoena and common dolphins Delphinus delphis from Irish coastal waters;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;2000;WOS:000170921900002
The reproductive cycle of the intertidal gastropod Melarhaphe neritoides on the west and south coasts of Ireland;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;2000;WOS:000170921900003
The hermit crab Diogenes pugilator (Roux, 1829) in Irish waters;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;2000;WOS:000170921900005
Acute and sublethal toxicity of estuarine sediments to the manila clam, Tapes semidecussatus;ENVIRONMENTAL TOXICOLOGY;"10.1002/1522-7278(2000)15:5<456::AID-TOX14>3.0.CO;2-9";2000;WOS:000165446600014
A sponge diversity centre within a marine 'island';HYDROBIOLOGIA;10.1023/A:1004145011422;2000;WOS:000167736300007
Biogeography of Southern polar bryozoans;VIE ET MILIEU-LIFE AND ENVIRONMENT;;2000;WOS:000167085200006
Age and seasonal variations in the prevalence of Oestrus ovis larvae among sheep in northern Jordan;PREVENTIVE VETERINARY MEDICINE;10.1016/S0167-5877(00)00160-4;2000;WOS:000165474000005
