Title;Source;DOI;Year Published;WOS Number
Genetic considerations on the introduction of farmed fish in marine protected areas: The case of study of white seabream restocking in the Gulf of Castellammare (Southern Tyrrhenian Sea);JOURNAL OF SEA RESEARCH;10.1016/j.seares.2011.12.005;2012;WOS:000301688400005
Dominance and growth of Diplodus sargus (Pisces: Sparidae) in small captive groups;APPLIED ANIMAL BEHAVIOUR SCIENCE;10.1016/j.applanim.2012.01.006;2012;WOS:000301636300012
Polycyclic aromatic hydrocarbon levels in three pelagic fish species from Atlantic Ocean: Inter-specific and inter-season comparisons and assessment of potential public health risks;FOOD AND CHEMICAL TOXICOLOGY;10.1016/j.fct.2011.10.059;2012;WOS:000301218800011
Microbiological monitoring of bivalves from the Ria Formosa Lagoon (south coast of Portugal): A 20 years of sanitary survey;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2011.11.025;2012;WOS:000300864800023
Organotin levels in Nazare canyon (west Iberian Margin, NE Atlantic) and adjacent coastal area;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2011.11.013;2012;WOS:000300864800043
Precision timing in ocean sensor systems;MEASUREMENT SCIENCE AND TECHNOLOGY;10.1088/0957-0233/23/2/025801;2012;WOS:000300057900035
Temporal fatty acid dynamics of the octocoral Veretillum cynomorium;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;10.1016/j.cbpb.2011.11.002;2012;WOS:000300069500012
Weight-length relationships for 27 demersal fish species caught off the Cape Verde archipelago (eastern North Atlantic);JOURNAL OF APPLIED ICHTHYOLOGY;10.1111/j.1439-0426.2011.01915.x;2012;WOS:000299073500033
Population structure of the black seabream Spondyliosoma cantharus along the south-west Portuguese coast inferred from otolith chemistry;JOURNAL OF FISH BIOLOGY;10.1111/j.1095-8649.2011.03186.x;2012;WOS:000299374400011
CARBON/NUTRIENT BALANCE IN RELATION TO BIOMASS PRODUCTION AND HALOGENATED COMPOUND CONTENT IN THE RED ALGA ASPARAGOPSIS TAXIFORMIS (BONNEMAISONIACEAE);JOURNAL OF PHYCOLOGY;10.1111/j.1529-8817.2011.01083.x;2012;WOS:000299730600025
Phytoplankton community during a coccolithophorid bloom in the Patagonian Shelf: microscopic and high-performance liquid chromatography pigment analyses;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315411000439;2012;WOS:000299655400002
Intertidal meiofauna communities along an estuarine gradient in a protected area (Ria de Foz, north-west Spain);JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315411000580;2012;WOS:000299655400006
Merging anchovy eggs abundance into a hydrodynamic model as an assessment tool for estuarine ecohydrological management;RIVER RESEARCH AND APPLICATIONS;10.1002/rra.1443;2012;WOS:000299555000003
Four-and-a-half LIM domains protein 2 (FHL2) is associated with the development of craniofacial musculature in the teleost fish Sparus aurata;CELLULAR AND MOLECULAR LIFE SCIENCES;10.1007/s00018-011-0754-y;2012;WOS:000299091500010
Tidal asymmetry in a coastal lagoon subject to a mixed tidal regime;GEOMORPHOLOGY;10.1016/j.geomorph.2011.08.032;2012;WOS:000298767000014
Ionic regulation and shell mineralization in the bivalve Anodonta cygnea (swan mussel) following heavy-metal exposure;CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE;10.1139/Z11-129;2012;WOS:000300967400013
Dietary nitrogen and fish welfare;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9592-y;2012;WOS:000304115700008
Contemporary sea level in the Chagos Archipelago, central Indian Ocean;GLOBAL AND PLANETARY CHANGE;10.1016/j.gloplacha.2011.11.009;2012;WOS:000300922000003
Estimating Norway lobster abundance from deep-water videos: an automatic approach;IET IMAGE PROCESSING;10.1049/iet-ipr.2009.0426;2012;WOS:000300301200003
Implications of Zostera noltii recolonization on Hydrobia ulvae population structure success;MARINE ENVIRONMENTAL RESEARCH;10.1016/j.marenvres.2011.11.005;2012;WOS:000300818900010
Impact of sampling depth and plant species on local environmental conditions, microbiological parameters and bacterial composition in a mercury contaminated salt marsh;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2011.11.020;2012;WOS:000300864800024
Changes in the amount of kidney pigmented macrophage aggregates throughout the breeding cycle of female Ohrid trout, Salmo letnica Kar. (Teleostei, Salmonidae);MICROSCOPY RESEARCH AND TECHNIQUE;10.1002/jemt.21040;2012;WOS:000299208300010
Three decades of high-resolution coastal sea surface temperatures reveal more than warming;NATURE COMMUNICATIONS;10.1038/ncomms1713;2012;WOS:000302060100045
Implications of Extreme Life Span in Clonal Organisms: Millenary Clones in Meadows of the Threatened Seagrass Posidonia oceanica;PLOS ONE;10.1371/journal.pone.0030454;2012;WOS:000301977500010
Phytoplankton composition, growth and production in the Guadiana estuary (SW Iberia): Unraveling changes induced after dam construction;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2011.11.043;2012;WOS:000301155200035
Icelandic lampreys (Petromyzon marinus): where do they come from?;ICHTHYOLOGICAL RESEARCH;10.1007/s10228-011-0248-9;2012;WOS:000302047900012
Trophic model of the coastal ecosystem of the Bay of Bengal using mass balance Ecopath model;ECOLOGICAL MODELLING;10.1016/j.ecolmodel.2011.11.013;2012;WOS:000299984800008
Estuarine biodiversity as an indicator of groundwater discharge;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.11.006;2012;WOS:000300745500005
